Fecha y hora,Departamento,Localidad,Jurisdiccion ,Tipo de Siniestro,Vehiculo,Rol,Edad,Sexo,Fallecido a los Dias,Otro vehiculo,Lugar del Siniestro,X,Y
1/1/2013 23:15,CANELONES,N/C,NACIONAL,COLISION CON OBSTACULO EN CALZADA,MOTO,CONDUCTOR,34,F,0,,RUTA 101 km 24,58.981.534.291.403,614.386.276.322.876
1/1/2013 23:35,SALTO,SALTO,DEPARTAMENTAL,ATROPELLO DE PEATON,PEATON,PEATON,52,F,0,MOTO,MAGALLANES prox. Barrio Chinchurreta,41.157.976.676.737,652.687.277.455.295
3/1/2013 23:35,PAYSANDU,N/C,NACIONAL,COLISION ENTRE VEHICULOS,AUTO,CONDUCTOR,34,M,8,CAMION,RUTA 3 km. 358,41.232.154.385.851,640.706.758.434.832
4/1/2013 7:10,COLONIA,N/C,NACIONAL,DESPISTE,AUTO,CONDUCTOR,49,F,1,,RUTA 21 esq. Dr Irastorza,37.942.436.717.454,624.035.626.163.798
4/1/2013 11:00,CANELONES,PROGRESO,DEPARTAMENTAL,DESPISTE,AUTO,CONDUCTOR,91,M,0,,CESAR MAYO GUTIERREZ senda CAMINO PELUFFO,57.067.510.160.454,616.447.953.464.639
5/1/2013 0:20,RIVERA,N/C,DEPARTAMENTAL,DESPISTE,CAMIONETA,CONDUCTOR,56,M,0,,CAMINO VECINAL PASO DEL CERRO,6.106.968.504.182,654.515.343.507.871
6/1/2013 14:10,MONTEVIDEO,MONTEVIDEO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,63,M,1,MOTO,AVENIDA LEZICA esq. GUANAHANY,56.879.016.317.914,614.928.746.651.693
6/1/2013 15:30,RIVERA,N/C,NACIONAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,45,M,0,MOTO,RUTA 27 km 113,71.752.258.490.301,648.353.846.809.877
6/1/2013 18:21,FLORIDA,N/C,NACIONAL,DESPISTE,AUTO,PASAJERO,34,F,1,,RUTA 7 km. 145,63.664.174.030.974,62.530.509.922.931
6/1/2013 20:50,MALDONADO,AIGUA,DEPARTAMENTAL,COLISION CON OBSTACULO EN CALZADA,MOTO,CONDUCTOR,20,M,1,,CONT. AGUSTONI ROSSI,70.641.006.273.448,62.133.480.410.274
8/1/2013 19:26,MONTEVIDEO,MONTEVIDEO,DEPARTAMENTAL,ATROPELLO DE PEATON,PEATON,PEATON,25,M,0,AUTO,AVENIDA JOSE BELLONI esq. MONTE CARLO,57.891.505.070.232,614.415.248.088.747
8/1/2013 20:10,MALDONADO,LA BARRA,DEPARTAMENTAL,COLISION CON OBSTACULO EN CALZADA,MOTO,CONDUCTOR,19,M,0,,CERRO EGUZQUIZA,,
9/1/2013 5:45,ROCHA,N/C,NACIONAL,DESPISTE,CAMIONETA,CONDUCTOR,50,M,0,,RUTA 14 km. 490,81.986.477.552.791,624.130.941.742.372
9/1/2013 15:05,MONTEVIDEO,MONTEVIDEO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,44,M,0,AUTO,CAMINO ARIEL esq. BELL,57.197.316.990.338,614.487.563.252.889
9/1/2013 22:30,CERRO LARGO,MELO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,20,M,1,CAMIONETA,JOSE ENRIQUE RODO esq. TREINTA Y TRES,76.665.527.288.589,641.535.484.947.676
9/1/2013 22:55,MONTEVIDEO,MONTEVIDEO,DEPARTAMENTAL,ATROPELLO DE PEATON,PEATON,PEATON,40,M,0,AUTO,AVENIDA DON PEDRO DE MENDOZA esq. CAMINO CARLOS LINNEO,57.627.810.078.595,615.020.038.446.695
10/1/2013 2:10,CANELONES,N/C,NACIONAL,DESPISTE,AUTO,CONDUCTOR,54,M,4,,RUTA 5 km 52,56.626.113.167.206,618.577.745.022.466
10/1/2013 21:10,PAYSANDU,PAYSANDU,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,18,M,1,MOTO,DOCTOR FLORENTINO FELIPPONE esq. ANDRESITO,39.914.950.101.738,64.254.636.549.967
11/1/2013 14:00,MALDONADO,N/C,NACIONAL,DESPISTE,CAMIONETA,PASAJERO,22,M,1,,RUTA 9 km. 157,,
13/01/2013 22:30,ROCHA,N/C,NACIONAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,58,M,0,AUTO,RUTA 9 km. 263,,
14/01/2013 01:10,SALTO,N/C,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,29,F,0,CAMION,CAMINO DEPARTAMENTAL a RIVERA Y RUTA 31 KM 13,42.378.528.492.841,652.782.319.208.489
14/01/2013 02:50,CANELONES,N/C,NACIONAL,DESPISTE,AUTO,CONDUCTOR,28,M,0,,RUTA 11 km. 165,61.273.938.021.434,615.373.500.179.249
15/01/2013 16:40,MALDONADO,N/C,NACIONAL,ATROPELLO DE PEATON,PEATON,PEATON,19,F,0,CAMIONETA,RUTA 93 km. 110,67.053.266.916.649,614.025.709.459.831
16/01/2013 14:30,MONTEVIDEO,MONTEVIDEO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,20,M,1,AUTO,COLORADO esq. QUIJOTE,57.626.931.186.149,614.016.117.898.502
17/01/2013 08:00,CERRO LARGO,ISIDORO NOBLIA,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,22,M,0,MOTO,BOLIVIA casi Batalla de las Piedras Barrio Berbat Rivero,771.380.746.786,646.012.835.252.854
18/01/2013 14:00,CANELONES,HIPODROMO,NACIONAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,36,M,1,CAMION,RUTA 75 esq. PELUFFO,59.474.152.361.033,615.909.606.577.875
18/01/2013 17:00,MONTEVIDEO,MONTEVIDEO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,61,M,1,CAMIONETA,AVENIDA JOSE PEDRO VARELA esq. CAMINO CORRALES,57.827.677.666.958,614.230.560.342.469
19/01/2013 23:20,FLORIDA,FLORIDA,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,PASAJERO,16,F,1,CAMIONETA,AVENIDA ARTIGAS esq. A. SIERRA,57.131.458.144.167,622.661.406.321.196
20/01/2013 02:00,CANELONES,ARAMINDA,NACIONAL,ATROPELLO DE PEATON,PEATON,PEATON,45,M,0,AUTO,RUTA INTERBALNEARIA km. 66,63.197.578.690.538,615.048.041.878.583
