Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
19/11/2020, RUTA 81 KM 70, DESPISTE, LEVE, JUEVES, 16, CANELONES, SIN DATOS, 1, 623720, 6185235 
3/12/2020, SIN DATOS, DESPISTE, LEVE, JUEVES, 17, SAN JOSE, SIN DATOS, 1, 524390, 6193915 
10/12/2020, BOHANES, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 22, RIO NEGRO, FRAY BENTOS, 1, 379245, 6332775 
25/12/2020, GENERAL JUAN ANTONIO LAVALLEJA, ATROPELLO DE PEATÓN, LEVE, VIERNES, 7, ARTIGAS, ARTIGAS, 1, 551630, 6636225 
31/12/2020, CIUDAD DE GUICHON Y WASHINGTON, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 17, PAYSANDU, PAYSANDU, 1, 400260, 6423910 
13/12/2020, POCHO FERNANDEZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 20, FLORIDA, FLORIDA, 1, 571770, 6226930 
13/12/2020, PUENTE NEGRO, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, DOMINGO, 23, COLONIA, SIN DATOS, 1, 470925, 6199385 
14/12/2020, AGAPITO PARABERA, CAÍDA, LEVE, LUNES, 0, MALDONADO, MALDONADO, 1, 688220, 6136645 
16/12/2020, SIN DATOS, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 16, CANELONES, SIN DATOS, 1, 584030, 6152120 
4/2/2020, GENERAL JOSE G. ARTIGAS ESQ. DOCTOR F. LUCAS GAFFRE, DESPISTE, FATAL, MARTES, 13, SALTO, SALTO, 1, 410515, 6526670 
6/2/2020, GENERAL JUAN ANTONIO LAVALLEJA ESQ. SARANDI, COLISIÓN ENTRE VEHÍCULOS, FATAL, JUEVES, 19, TREINTA Y TRES, TREINTA Y TRES, 1, 743615, 6319115 
11/2/2020, WILSON FERREIRA ALDUNATE ESQ. VEINTICINCO DE AGOSTO, ATROPELLO DE PEATÓN, FATAL, MARTES, 20, RIO NEGRO, SIN DATOS, 1, 440230, 6382775 
13/9/2020, RUTA 44 KILOMETRO 26, DESPISTE, FATAL, DOMINGO, 8, CERRO LARGO, SIN DATOS, 1, 755480, 6417655 
8/9/2020, MONTE CASEROS ESQ. URUGUAY, COLISIÓN ENTRE VEHÍCULOS, FATAL, MARTES, 9, PAYSANDU, PAYSANDU, 1, 398355, 6424055 
25/4/2020, RUTA 33 KM 42.500, ATROPELLO DE PEATÓN, FATAL, SÁBADO, 20, CANELONES, SIN DATOS, 1, 582425, 6174480 
3/5/2020, RUTA 23 KM 100.100, CAÍDA, FATAL, DOMINGO, 18, SAN JOSE, JUAN SOLER, 1, 517455, 6202440 
30/11/2020, RUTA 8 KM 264.000, ATROPELLO DE PEATÓN, FATAL, LUNES, 10, TREINTA Y TRES, SIN DATOS, 1, 731755, 6302350 
30/11/2020, DIECIOCHO DE JULIO ESQ. C. ALZAIBAR, COLISIÓN ENTRE VEHÍCULOS, FATAL, LUNES, 18, RIO NEGRO, FRAY BENTOS, 1, 379270, 6333305 
3/12/2020, RUTA 5 KM 378.000, ATROPELLO DE PEATÓN, FATAL, JUEVES, 20, TACUAREMBO, SIN DATOS, 1, 596930, 6480510 
12/4/2020, RUTA 5 KM 493.000, ATROPELLO DE ANIMALES, FATAL, DOMINGO, 0, RIVERA, SIN DATOS, 1, 637545, 6574305 
30/8/2020, RUTA 9 km. 133.000, COLISIÓN ENTRE VEHÍCULOS, FATAL, DOMINGO, 17, MALDONADO, SIN DATOS, 1, 686445, 6153040 
14/9/2020, RUTA 57 KM 7.000, ATROPELLO DE PEATÓN, FATAL, LUNES, 8, SORIANO, SIN DATOS, 1, 472550, 6256015 
25/9/2020, DIECIOCHO DE JULIO esq. DOCTOR EDUARDO IRASTORZA, COLISIÓN ENTRE VEHÍCULOS, FATAL, VIERNES, 18, COLONIA, CARMELO, 1, 380460, 6237555 
17/11/2020, RUTA 7 KM 243.000, DESPISTE, FATAL, MARTES, 21, TREINTA Y TRES, SIN DATOS, 1, 675405, 6331615 
