Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
26/9/2020, AVENIDA GENERAL SAN MARTIN, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 19, MONTEVIDEO, MONTEVIDEO, 1, 575110, 6141995 
27/9/2020, PIRIBEBUY, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 12, MONTEVIDEO, MONTEVIDEO, 1, 570720, 6145610 
27/9/2020, AVENIDA RAMON ANADOR, CAÍDA, SIN LESIONADOS, DOMINGO, 13, MONTEVIDEO, MONTEVIDEO, 1, 578290, 6138210 
27/9/2020, SIN DATOS, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 13, MONTEVIDEO, MONTEVIDEO, 1, 587860, 6151385 
28/9/2020, PAN DE AZUCAR, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 14, MONTEVIDEO, MONTEVIDEO, 1, 579180, 6140750 
28/9/2020, GENERAL FRENCH, CAÍDA, LEVE, LUNES, 19, MONTEVIDEO, MONTEVIDEO, 1, 586975, 6141085 
28/9/2020, LUIS DE LA TORRE, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 19, MONTEVIDEO, MONTEVIDEO, 1, 576965, 6135775 
29/9/2020, AVENIDA GENERAL EUGENIO GARZON, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 6, MONTEVIDEO, MONTEVIDEO, 1, 570935, 6149145 
29/9/2020, AVENIDA GENERAL RONDEAU, ATROPELLO DE PEATÓN, SIN LESIONADOS, MARTES, 7, MONTEVIDEO, MONTEVIDEO, 1, 573790, 6138090 
29/9/2020, CAMINO CARRASCO, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 9, MONTEVIDEO, MONTEVIDEO, 1, 583910, 6140980 
18/7/2020, CAMINO DE LA REDENCION, DESPISTE, GRAVE, SÁBADO, 10, MONTEVIDEO, SIN DATOS, 1, 564035, 6153155 
20/7/2020, AVENIDA AGRACIADA, ATROPELLO DE PEATÓN, LEVE, LUNES, 10, MONTEVIDEO, MONTEVIDEO, 1, 573155, 6140490 
20/7/2020, ISIDORO DE MARIA, ATROPELLO DE PEATÓN, GRAVE, LUNES, 12, MONTEVIDEO, MONTEVIDEO, 1, 574415, 6139100 
21/7/2020, FELIPE SANGUINETTI, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 12, MONTEVIDEO, MONTEVIDEO, 1, 577995, 6140230 
22/7/2020, AVENIDA DOCTOR CARLOS MARIA RAMIREZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 7, MONTEVIDEO, MONTEVIDEO, 1, 569950, 6141660 
22/7/2020, SAN NICOLAS, COLISIÓN ENTRE VEHÍCULOS, GRAVE, MIÉRCOLES, 11, MONTEVIDEO, MONTEVIDEO, 1, 585335, 6138065 
22/7/2020, PARVA DOMUS, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, MIÉRCOLES, 16, MONTEVIDEO, MONTEVIDEO, 1, 576960, 6134765 
24/7/2020, COLONIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 10, MONTEVIDEO, MONTEVIDEO, 1, 573560, 6137180 
19/9/2020, PIRIBEBUY, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 13, MONTEVIDEO, MONTEVIDEO, 1, 571010, 6145390 
19/9/2020, BOULEVARD JOSE BATLLE Y ORDOÑEZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 15, MONTEVIDEO, MONTEVIDEO, 1, 578205, 6139725 
20/9/2020, AVENIDA DON PEDRO DE MENDOZA, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 0, MONTEVIDEO, MONTEVIDEO, 1, 576695, 6148160 
21/9/2020, AVENIDA DOCTOR LUIS ALBERTO DE HERRERA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 13, MONTEVIDEO, MONTEVIDEO, 1, 577370, 6139810 
21/9/2020, CAMINO CARMELO COLMAN, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, LUNES, 15, MONTEVIDEO, SIN DATOS, 1, 571255, 6148965 
21/9/2020, AVENIDA OCHO DE OCTUBRE, ATROPELLO DE PEATÓN, LEVE, LUNES, 16, MONTEVIDEO, MONTEVIDEO, 1, 578975, 6140790 
29/12/2020, SIN DATOS, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 16, MONTEVIDEO, MONTEVIDEO, 1, 587390, 6151350 
30/12/2020, MARCELINO SOSA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 12, MONTEVIDEO, MONTEVIDEO, 1, 574335, 6139135 
30/12/2020, AVENIDA GENERAL FLORES, CAÍDA, LEVE, MIÉRCOLES, 20, MONTEVIDEO, MONTEVIDEO, 1, 578105, 6144950 
31/12/2020, AVENIDA LUIS BATLLE BERRES, CAÍDA, LEVE, JUEVES, 6, MONTEVIDEO, MONTEVIDEO, 1, 569780, 6142940 
31/12/2020, CONSTITUYENTE, DESPISTE, LEVE, JUEVES, 20, MONTEVIDEO, MONTEVIDEO, 1, 575245, 6136975 
31/12/2020, INGENIERO JOSE SERRATO, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 21, MONTEVIDEO, MONTEVIDEO, 1, 578255, 6140885 
25/7/2020, ITACUMBU, CAÍDA, LEVE, SÁBADO, 12, MONTEVIDEO, MONTEVIDEO, 1, 576955, 6144375 
25/7/2020, CONCILIACION, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 12, MONTEVIDEO, MONTEVIDEO, 1, 571260, 6141640 
26/7/2020, ESPRONCEDA, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 13, MONTEVIDEO, MONTEVIDEO, 1, 579880, 6140170 
26/7/2020, RIO DE JANEIRO, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 16, MONTEVIDEO, MONTEVIDEO, 1, 567995, 6140810 
6/7/2020, RAFAEL, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 6, MONTEVIDEO, MONTEVIDEO, 1, 580060, 6144580 
27/7/2020, ARENAL GRANDE, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 18, MONTEVIDEO, MONTEVIDEO, 1, 574960, 6138180 
28/7/2020, AVENIDA DON PEDRO DE MENDOZA, CAÍDA, LEVE, MARTES, 11, MONTEVIDEO, MONTEVIDEO, 1, 576695, 6148160 
28/7/2020, HOCQUART, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 18, MONTEVIDEO, MONTEVIDEO, 1, 576120, 6138960 
29/7/2020, AVENIDA ITALIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 11, MONTEVIDEO, MONTEVIDEO, 1, 577885, 6138970 
29/7/2020, DOCTOR JOSE MARIA SILVA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 16, MONTEVIDEO, MONTEVIDEO, 1, 574495, 6144130 
29/9/2020, FRANCISCO ARRIETA, CAÍDA, LEVE, MARTES, 17, MONTEVIDEO, MONTEVIDEO, 1, 576480, 6140470 
30/9/2020, AVENIDA LIBERTADOR BRIGADIER GENERAL LAVALLEJA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 15, MONTEVIDEO, MONTEVIDEO, 1, 574090, 6138295 
1/10/2020, CARRERAS NACIONALES, ATROPELLO DE PEATÓN, LEVE, JUEVES, 12, MONTEVIDEO, MONTEVIDEO, 1, 577070, 6144135 
1/10/2020, GENERAL AGUILAR, ATROPELLO DE PEATÓN, LEVE, JUEVES, 15, MONTEVIDEO, MONTEVIDEO, 1, 573590, 6139410 
1/10/2020, AVENIDA ITALIA, ATROPELLO DE PEATÓN, LEVE, JUEVES, 18, MONTEVIDEO, MONTEVIDEO, 1, 577485, 6138790 
1/10/2020, BOULEVARD APARICIO SARAVIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 17, MONTEVIDEO, MONTEVIDEO, 1, 580820, 6145860 
2/10/2020, CAMINO MALDONADO, DESPISTE, LEVE, VIERNES, 2, MONTEVIDEO, MONTEVIDEO, 1, 582135, 6146075 
2/10/2020, AVENIDA DOCTOR SANTIN CARLOS ROSSI, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 8, MONTEVIDEO, MONTEVIDEO, 1, 568300, 6141650 
30/9/2020, BOULEVARD GENERAL ARTIGAS, ATROPELLO DE PEATÓN, LEVE, MIÉRCOLES, 19, MONTEVIDEO, MONTEVIDEO, 1, 576405, 6137070 
2/10/2020, CAMINO CARRASCO, CAÍDA, LEVE, VIERNES, 21, MONTEVIDEO, MONTEVIDEO, 1, 580700, 6140845 
30/7/2020, PARAGUAY, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 15, MONTEVIDEO, MONTEVIDEO, 1, 573775, 6137090 
30/7/2020, AVENIDA GENERAL RONDEAU, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 17, MONTEVIDEO, MONTEVIDEO, 1, 573790, 6138090 
30/7/2020, MANUEL HERRERA Y OBES, COLISIÓN CON OBSTÁCULO EN CALZADA, LEVE, JUEVES, 20, MONTEVIDEO, MONTEVIDEO, 1, 571270, 6142050 
