Fecha, Edad, Rol, Calle, Zona, Tipo de resultado, Tipo de siniestro, Usa cinturón, Usa casco, Día de la semana, Sexo, Hora, Departamento, Localidad, Tipo de Vehiculo, fixed, X, Y 
16/1/2020, 41, CONDUCTOR, FRANCISCO SAINZ, URBANA    , ILESO, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN DATOS, SIN DATOS, JUEVES, MASCULINO, 14, MONTEVIDEO, MONTEVIDEO, CAMION, 1, 578555, 6143180 
16/1/2020, 40, PASAJERO, PEDRO TRAPANI, SUBURBANA , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, NO USA CASCO, JUEVES, FEMENINO, 15, MONTEVIDEO, MONTEVIDEO, MOTO, 1, 573805, 6143465 
16/1/2020, 45, CONDUCTOR, PEDRO TRAPANI, SUBURBANA , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, JUEVES, MASCULINO, 15, MONTEVIDEO, MONTEVIDEO, MOTO, 1, 573805, 6143465 
16/1/2020, 73, CONDUCTOR, PEDRO TRAPANI, SUBURBANA , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, JUEVES, MASCULINO, 15, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 573805, 6143465 
16/1/2020, 39, CONDUCTOR, AVENIDA DOCTOR LUIS ALBERTO DE HERRERA, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, JUEVES, MASCULINO, 18, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 576200, 6141075 
16/1/2020, 79, CONDUCTOR, AVENIDA DOCTOR LUIS ALBERTO DE HERRERA, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, JUEVES, MASCULINO, 18, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 576200, 6141075 
16/1/2020, SIN DATOS, CONDUCTOR, AVENIDA DOCTOR LUIS ALBERTO DE HERRERA, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, JUEVES, MASCULINO, 18, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 578975, 6136625 
16/1/2020, 40, CONDUCTOR, AVENIDA DOCTOR LUIS ALBERTO DE HERRERA, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, JUEVES, MASCULINO, 18, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 578975, 6136625 
16/1/2020, 29, PASAJERO, CAMINO MALDONADO, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, JUEVES, FEMENINO, 19, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 580650, 6144595 
16/1/2020, 34, PASAJERO, CAMINO MALDONADO, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, JUEVES, FEMENINO, 19, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 580650, 6144595 
16/1/2020, 31, CONDUCTOR, CAMINO MALDONADO, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, JUEVES, MASCULINO, 19, MONTEVIDEO, MONTEVIDEO, CAMION, 1, 580650, 6144595 
16/1/2020, 38, PASAJERO, CAMINO MALDONADO, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, JUEVES, MASCULINO, 19, MONTEVIDEO, MONTEVIDEO, CAMION, 1, 580650, 6144595 
16/1/2020, 50, CONDUCTOR, CAMINO MALDONADO, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, JUEVES, MASCULINO, 19, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 580650, 6144595 
15/1/2020, 44, CONDUCTOR, AVENIDA DE LAS INSTRUCCIONES, RURAL     , HERIDO LEVE, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN DATOS, SIN DATOS, MIÉRCOLES, FEMENINO, 14, MONTEVIDEO, SIN DATOS, AUTO, 1, 581040, 6153255 
